BUURTCODE,BUURTNAAM,WIJKNAAM,STADSDEELNAAM,population,area_km2,OAD,pop_density,parking_count,parking_capacity,accident_count,injury_count,fatal_count,property_damage_only_count,lane_length_m,has_lane_data,parking_capacity_per_1000_residents,accident_rate_per_1000_residents
637,Flight Forum,Wijk Meerhoven,Stadsdeel Strijp,63.0,1.3814911541635415,45.602897861582704,45.602897861582704,0,0.0,14,5,0,9,11512.189275142979,True,0.0,222.2222222222222
731,Genderbeemd,Wijk Gestelse Ontginning,Stadsdeel Gestel,3565.0,0.998801839685172,3569.2765655334674,3569.2765655334674,0,0.0,37,2,0,35,6308.233874455196,True,0.0,10.378681626928472
721,Genderdal,Wijk Oud-Gestel,Stadsdeel Gestel,2925.0,0.5974657346625337,4895.678246137624,4895.678246137624,0,0.0,21,5,0,16,6763.023649458211,True,0.0,7.17948717948718
431,Generalenbuurt,Wijk Begijnenbroek,Stadsdeel Woensel-Zuid,5522.0,0.8178557535608885,6751.801862318125,6751.801862318125,0,0.0,18,7,0,11,10503.76185519064,True,0.0,3.2596885186526623
726,Gennep,Wijk Oud-Gestel,Stadsdeel Gestel,42.0,1.721451351924124,24.39801737821704,24.39801737821704,0,0.0,10,0,0,10,4756.936396592396,True,0.0,238.09523809523807
223,Genneperzijde,Wijk Kortonjo,Stadsdeel Stratum,1346.0,0.3052469511205511,4409.544452643606,4409.544452643606,0,0.0,15,4,0,11,2070.5825936586753,True,0.0,11.144130757800891
222,Gerardusplein,Wijk Kortonjo,Stadsdeel Stratum,3368.0,0.4585699452200481,7344.572044257809,7344.572044257809,0,0.0,10,4,0,6,2075.5588646691735,True,0.0,2.969121140142518
235,Gijzenrooi,Wijk Putten,Stadsdeel Stratum,1706.0,0.590460435869591,2889.2706375618823,2889.2706375618823,0,0.0,1,0,0,1,2830.075474481342,True,0.0,0.5861664712778428
413,Gildebuurt,Wijk Oud-Woensel,Stadsdeel Woensel-Zuid,1677.0,0.2101610001674164,7979.596588634829,7979.596588634829,0,0.0,37,5,0,32,3533.4553731787787,True,0.0,22.06320810971974
633,Grasrijk,Wijk Meerhoven,Stadsdeel Strijp,6111.0,1.2805805388962543,4772.054403752797,4772.054403752797,0,0.0,22,3,0,19,8989.917116233424,True,0.0,3.6000654557355585
