fid,accident_id,accident_year,accident_outcome,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry
ongevallen_2022_2024.199268,20240092939,2024,property_damage_only,2,light_moped,,passenger_car,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rotonde,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600218490.0,,,Floralaan West,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162615.37460000068 380783.0091000013)
ongevallen_2022_2024.201055,20240137411,2024,property_damage_only,2,passenger_car,,moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,318175083.0,,,Fransebaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159187 387753)
ongevallen_2022_2024.201460,20240002914,2024,property_damage_only,2,passenger_car,,bicycle,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,320171031.0,,,Barrierweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160437.14600000158 385794.8599999994)
ongevallen_2022_2024.201681,20240016170,2024,injury,2,,FATBIKE,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600312364.0,,,Sterrenlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (162657.4851000011 386465.91739999875)
ongevallen_2022_2024.201710,20240016209,2024,injury,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218216.0,,,Lichtenberg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (159109.39290000126 380765.01740000024)
ongevallen_2022_2024.202621,20240072947,2024,property_damage_only,2,bicycle,,passenger_car,,Onbekend,Ongeval gekoppeld op straat niveau.,Rechte weg,Binnen,30.0,Niet brandend,,Droog,Daglicht,,Droog,,,,,,,,320170046.0,,Barrierweg,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160201.34699999914 385575.51900000125)
ongevallen_2022_2024.205179,20240092136,2024,injury,2,bicycle,,,GEEN PARTIJ,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,,321177061.0,,Victor Hugolaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160674.3209999986 388838.4470000006)
ongevallen_2022_2024.205312,20240101919,2024,property_damage_only,2,van,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet aanwezig,ZOAB,Droog,Daglicht,,Droog,,,,,,,600311466.0,,,Mauritsstraat,Eindhoven,False,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160911.02910000086 382848.19839999825)
ongevallen_2022_2024.205332,20240101772,2024,property_damage_only,2,passenger_car,,moped,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,WEG MET NAASTGELEGEN FIETSPAD,,,321169066.0,,,Kloosterdreef,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (160812.48259999976 384987.7829999998)
ongevallen_2022_2024.205519,20240084042,2024,property_damage_only,2,passenger_car,,bicycle,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,322163028.0,,,Alberdingk Thijmlaan,Eindhoven,True,municipality,Eindhoven,Noord-Brabant,,,,,POINT (161398.01139999926 381673.2421000004)
