fid,accident_id,accident_year,accident_outcome,accident_outcome_standardized,number_of_parties,party_1_object_type,party_1_object_type_other,party_2_object_type,party_2_object_type_other,accident_nature,linking_level,road_situation,built_up_area,speed_limit,road_lighting,road_pavement,road_surface,light_condition,visibility_distance,weather_condition,special_traffic_measure,special_traffic_measure_other,special_infrastructure,special_infrastructure_other,special_temporary_nature,special_temporary_nature_other,junction_id,road_section_id,hectometer,street_name,place_name,current,current_boolean,road_authority,municipality,province,service_area_name,district_name,alcohol_indication,gdb_geometry_attribute_data,geometry,longitude,latitude
ongevallen_2022_2024.273433,20230071246,2023,Uitsluitend materiele schade,property_damage_only,1,Fiets,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Bocht,Binnen,30.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,,324173105.0,,Oberonstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162130.24599999934 386942.54399999976),5.489823903672629,51.47149637138028
ongevallen_2022_2024.273717,20240033766,2024,Uitsluitend materiele schade,property_damage_only,1,Fiets,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,,319166040.0,,Karolingersweg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159796.77800000086 383083.71499999985),5.456186546147217,51.436835404083936
ongevallen_2022_2024.273869,20230098672,2023,Uitsluitend materiele schade,property_damage_only,3,Bus,,Fiets,,Los voorwerp,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,ZOAB,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,321172011.0,,,de Waghemakerstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160523.21990000084 386385.34789999947),5.466685857419786,51.46650600661316
ongevallen_2022_2024.273870,20230099608,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Bromfiets,,Flank,Ongeval gekoppeld op kruispuntniveau.,"Kruispunt, 4 takken",Binnen,30.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,319167067.0,,,St Trudoplein,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (159714.2985999994 383596.3946999982),5.4550072295483965,51.44144441055728
ongevallen_2022_2024.273961,20230091835,2023,Letsel,injury,1,Bromfiets,,,,Eenzijdig,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,Andere oversteekplaats,,,,,,600218499.0,,,Sassenlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162468.3253000006 380731.6042000018),5.494557909520278,51.415663952227604
ongevallen_2022_2024.273987,20230100210,2023,Uitsluitend materiele schade,property_damage_only,2,Fiets,,Vrachtauto,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Brandend,Overig asfalt,Droog,Duisternis,,Droog,,,,,,,,600801949.0,,Kloosterdreef,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160872.91000000015 384796.1180000007),5.471691696654428,51.452217421297924
ongevallen_2022_2024.274246,20220028902,2022,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,70.0,Brandend,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,600218729.0,,,Jeroen Boschlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (163188.66160000116 383251.8944000006),5.504971313183154,51.43830799690999
ongevallen_2022_2024.274269,20220089898,2022,Uitsluitend materiele schade,property_damage_only,2,Vrachtauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,,Droog,Daglicht,,Droog,,,,,,,,322167035.0,,18 Septemberplein,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161267.7969999984 383573.61400000006),5.4773509535399,51.441224484605776
ongevallen_2022_2024.274295,20220089709,2022,Letsel,injury,2,Fiets,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 3 takken",Binnen,,Niet aanwezig,Overig asfalt,Nat,Daglicht,,Droog,,,,,,,600311993.0,,,John F Kennedylaan,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161981.15410000086 387167.2393999994),5.487682549748309,51.47351794874608
ongevallen_2022_2024.274333,20220067125,2022,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600219333.0,,,Rode Kruislaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160752.33839999884 388056.1926999986),5.47001047752204,51.48152234637565
ongevallen_2022_2024.274705,20220112238,2022,Letsel,injury,3,Fiets,,Fiets,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,,324161034.0,,Roostenlaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (162242.66699999943 380685.3680000007),5.491313128753214,51.41525129562424
ongevallen_2022_2024.274880,20230041576,2023,Dodelijk,fatal,2,Personenauto,,e-bike,,Flank,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,50.0,Niet brandend,Klinkers,Droog,Daglicht,,Droog,,,,,,,317165027.0,,,Dillenburgstraat,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (158645.66450000182 382674.0943999998),5.439627376303337,51.433162095851834
ongevallen_2022_2024.275043,20230098402,2023,Uitsluitend materiele schade,property_damage_only,2,Personenauto,,Fiets,,Onbekend,Ongeval gekoppeld op straat niveau.,,,,,,,Daglicht,,,,,,,,,,319171010.0,,Hendrik Staetslaan,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (160017.5700000003 385815.0390000008),5.459400889916911,51.461384435178154
ongevallen_2022_2024.275103,20230007607,2023,Letsel,injury,2,Bromfiets,,Lichtmast,,Vast voorwerp,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,50.0,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,FIETSPAD,,,,600565993.0,,Anthony Fokkerweg,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (156250.22700000182 385442.17500000075),5.405189689885853,51.4580539097923
ongevallen_2022_2024.275718,20220188327,2022,Uitsluitend materiele schade,property_damage_only,3,Bromfiets,,Fiets,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Buiten,50.0,Niet brandend,Overig asfalt,Nat,Daglicht,,Regen,,,,,,,600310299.0,,,Karel de Grotelaan,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (158984.71709999815 381216.1484000012),5.444486602776201,51.420054785985386
ongevallen_2022_2024.275794,20220130903,2022,Uitsluitend materiele schade,property_damage_only,2,Bromfiets,,Personenauto,,Onbekend,Ongeval exact gekoppeld op wegvak of junctie aan BN.,Rechte weg,Binnen,30.0,Niet brandend,Beton,Droog,Daglicht,,Droog,,,,,,,,322165036.0,,Grote Berg,Eindhoven,Ja,True,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161077.688000001 382935.6180000007),5.474605587920769,51.43549183480003
ongevallen_2022_2024.276041,20220189029,2022,Uitsluitend materiele schade,property_damage_only,2,e-bike,,Fiets,,Frontaal,Ongeval exact gekoppeld op wegvak of junctie aan BN.,"Kruispunt, 4 takken",Binnen,,Niet brandend,Overig asfalt,Droog,Daglicht,,Droog,,,,,,,600311684.0,,,FIETSPAD,Eindhoven,Nee,False,Gemeente,Eindhoven,Noord-Brabant,,,,,POINT (161331.5245999992 382423.56390000135),5.478246857119404,51.430886351690454
